,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
2646,Neukölln,Reuterstraße,Entire home/apt,89,4,102,2.04,1,234
2647,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,59,7,5,0.1,1,0
2648,Mitte,Brunnenstr. Nord,Private room,60,1,11,0.22,1,359
2650,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,40,3,12,0.24,1,0
2651,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,15,7,1,0.03,2,0
2652,Steglitz - Zehlendorf,Drakestr.,Private room,28,2,11,0.22,2,0
2653,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,34,2,35,0.7,1,5
2654,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,70,7,9,0.23,1,220
2655,Mitte,Brunnenstr. Süd,Private room,40,3,6,0.7,1,0
2656,Neukölln,Neuköllner Mitte/Zentrum,Private room,35,1,23,0.56,1,335
2657,Mitte,Alexanderplatz,Entire home/apt,55,60,23,0.46,1,332
2658,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,28,25,3,0.06,1,0
2659,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,85,20,25,0.5,1,215
2660,Mitte,Wedding Zentrum,Entire home/apt,70,7,2,0.06,1,0
2661,Treptow - Köpenick,Plänterwald,Private room,65,1,109,2.15,1,355
2663,Neukölln,Rixdorf,Entire home/apt,59,4,62,1.24,1,66
2664,Mitte,Regierungsviertel,Entire home/apt,130,4,2,0.04,1,0
2665,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,44,1,2,0.04,1,0
2666,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,70,3,1,1.0,1,150
2667,Neukölln,Reuterstraße,Private room,38,3,31,0.72,1,27
2668,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,200,3,195,3.94,1,264
2669,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,263,3,118,2.36,1,331
2670,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,22,3,2,0.04,1,0
2671,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,55,2,2,0.04,1,0
2672,Mitte,Moabit West,Private room,15,6,3,0.06,1,0
2673,Treptow - Köpenick,Baumschulenweg,Private room,32,28,16,0.47,2,0
2675,Neukölln,Schillerpromenade,Entire home/apt,56,3,38,0.96,2,276
2676,Mitte,Alexanderplatz,Entire home/apt,99,3,75,1.49,3,0
2677,Neukölln,Reuterstraße,Entire home/apt,52,3,4,0.15,1,0
2678,Mitte,Parkviertel,Private room,40,3,14,0.29,2,365
2679,Charlottenburg-Wilm.,Heerstrasse,Private room,42,1,72,1.44,3,285
2680,Charlottenburg-Wilm.,Heerstrasse,Private room,42,1,68,1.36,3,319
2681,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,49,2,162,3.26,1,329
2682,Mitte,Alexanderplatz,Entire home/apt,43,4,6,0.12,1,0
2683,Mitte,Alexanderplatz,Entire home/apt,74,14,20,0.4,1,321
2684,Neukölln,Neuköllner Mitte/Zentrum,Private room,30,15,8,0.2,1,88
2685,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,65,5,22,0.44,1,297
2687,Pankow,Prenzlauer Berg Süd,Entire home/apt,58,3,17,0.36,1,214
2688,Marzahn - Hellersdorf,Biesdorf,Entire home/apt,120,3,4,0.15,1,319
2689,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,49,2,8,0.16,1,0
2690,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,30,1,4,0.08,1,0
2691,Pankow,Helmholtzplatz,Entire home/apt,60,30,6,0.13,2,263
2692,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,49,30,35,0.69,1,184
2693,Tempelhof - Schöneberg,Schöneberg-Süd,Private room,25,2,51,1.04,1,40
2694,Mitte,Moabit West,Entire home/apt,65,4,1,0.02,1,0
2695,Steglitz - Zehlendorf,Ostpreußendamm,Entire home/apt,39,3,10,0.21,3,32
2696,Charlottenburg-Wilm.,Otto-Suhr-Allee,Entire home/apt,120,3,3,0.22,1,0
2697,Neukölln,Reuterstraße,Entire home/apt,140,3,6,0.13,1,0
2698,Neukölln,Reuterstraße,Entire home/apt,60,5,1,0.03,1,0
2699,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,20,3,3,0.19,1,0
2700,Charlottenburg-Wilm.,Kurfürstendamm,Entire home/apt,71,3,94,2.16,2,153
2701,Treptow - Köpenick,Plänterwald,Entire home/apt,45,7,3,0.07,1,38
2702,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,45,4,8,0.16,1,11
2703,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Entire home/apt,55,14,64,1.27,1,0
2704,Neukölln,Schillerpromenade,Entire home/apt,89,3,20,0.41,2,59
2705,Pankow,Prenzlauer Berg Südwest,Entire home/apt,50,2,5,0.1,1,0
2706,Mitte,Moabit Ost,Entire home/apt,68,3,5,0.1,1,276
2707,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Entire home/apt,65,2,115,2.3,1,292
2708,Pankow,Prenzlauer Berg Süd,Private room,30,3,2,0.05,1,0
2709,Neukölln,Rixdorf,Private room,41,5,15,0.86,1,0
2710,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,60,3,26,0.52,1,27
2711,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,25,1,2,0.04,1,0
2713,Neukölln,Neuköllner Mitte/Zentrum,Entire home/apt,75,3,22,0.45,1,9
2714,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,28,2,33,0.66,2,277
2715,Neukölln,Reuterstraße,Private room,43,14,7,0.14,1,288
2716,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,Entire home/apt,90,3,5,0.12,1,341
2717,Pankow,Prenzlauer Berg Süd,Private room,49,3,63,1.26,1,0
2718,Neukölln,Rixdorf,Private room,35,3,9,0.19,1,0
2719,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,90,7,20,0.58,3,99
2720,Neukölln,Gropiusstadt,Private room,23,1,5,0.19,1,35
2721,Mitte,Brunnenstr. Nord,Entire home/apt,65,4,253,5.03,3,146
2722,Neukölln,Neuköllner Mitte/Zentrum,Private room,30,2,4,0.08,2,0
2723,Neukölln,Rixdorf,Private room,27,5,5,0.1,1,0
2724,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,129,2,68,1.38,2,142
2725,Pankow,Prenzlauer Berg Süd,Entire home/apt,160,2,210,4.2,1,10
2726,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,49,1,32,0.71,1,354
2727,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,99,3,19,0.53,1,0
2728,Mitte,Moabit Ost,Private room,30,2,95,3.43,1,0
2729,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,40,2,3,0.06,1,0
2730,Pankow,Helmholtzplatz,Entire home/apt,120,7,20,0.46,1,119
2731,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,35,3,5,0.1,1,0
2733,Mitte,Brunnenstr. Süd,Entire home/apt,72,4,31,0.65,1,0
2734,Mitte,Brunnenstr. Nord,Entire home/apt,38,1,12,0.25,1,0
2737,Steglitz - Zehlendorf,Schloßstr.,Private room,31,4,3,0.07,1,0
2738,Mitte,Parkviertel,Entire home/apt,30,90,61,1.22,1,16
2739,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,55,1,2,0.05,1,0
2740,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,45,4,80,1.62,3,65
2741,Steglitz - Zehlendorf,Drakestr.,Private room,34,2,5,0.13,2,0
2742,Neukölln,Neuköllner Mitte/Zentrum,Entire home/apt,57,60,12,0.24,3,17
2743,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,90,2,19,0.45,1,353
2744,Mitte,Parkviertel,Shared room,25,1,58,1.48,1,360
2745,Neukölln,Rixdorf,Private room,25,8,8,0.2,2,0
2748,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,30,30,2,0.04,1,87
2749,Lichtenberg,Alt-Lichtenberg,Private room,30,24,13,2.98,2,121
2750,Pankow,Prenzlauer Berg Süd,Entire home/apt,65,2,25,1.18,1,2
2751,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,59,7,25,0.68,1,221
2752,Pankow,Prenzlauer Berg Ost,Private room,42,3,126,2.53,1,128
2753,Mitte,Brunnenstr. Süd,Entire home/apt,70,28,7,0.18,1,34
2754,Mitte,Moabit West,Entire home/apt,100,2,6,0.14,1,362
2755,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Entire home/apt,40,2,39,0.78,1,0
2756,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,60,62,86,1.72,3,75
2757,Spandau,Siemensstadt,Private room,20,1,54,1.08,1,48
2758,Neukölln,Reuterstraße,Entire home/apt,25,2,9,0.18,1,0
2759,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,25,1,9,0.25,1,0
2760,Neukölln,Reuterstraße,Private room,40,1,3,0.78,1,302
2761,Charlottenburg-Wilm.,Düsseldorfer Straße,Private room,40,5,2,0.04,1,0
2762,Neukölln,Neuköllner Mitte/Zentrum,Entire home/apt,38,4,40,0.83,1,268
2763,Mitte,Moabit West,Entire home/apt,48,3,45,0.9,1,119
2764,Neukölln,Reuterstraße,Entire home/apt,95,7,10,0.21,1,289
2765,Pankow,Prenzlauer Berg Nordwest,Private room,46,2,7,0.16,1,0
2766,Pankow,Prenzlauer Berg Südwest,Private room,35,1,4,0.08,2,0
2767,Charlottenburg-Wilm.,Volkspark Wilmersdorf,Entire home/apt,100,7,1,0.02,1,0
2768,Tempelhof - Schöneberg,Schöneberg-Süd,Private room,18,3,75,3.2,1,36
2769,Mitte,Brunnenstr. Süd,Entire home/apt,94,2,7,0.17,1,0
2770,Steglitz - Zehlendorf,Zehlendorf  Südwest,Private room,32,2,9,1.34,1,66
2771,Pankow,Prenzlauer Berg Südwest,Entire home/apt,80,3,4,0.08,1,0
2772,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,140,2,158,3.18,5,304
2773,Pankow,Prenzlauer Berg Nordwest,Private room,49,3,46,0.93,1,0
2774,Neukölln,Schillerpromenade,Entire home/apt,47,30,69,1.39,1,0
2775,Neukölln,Schillerpromenade,Private room,30,2,6,0.12,1,0
2776,Neukölln,Reuterstraße,Private room,32,4,13,0.26,1,0
2777,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,154,2,20,0.41,1,0
2778,Neukölln,Schillerpromenade,Entire home/apt,55,1,5,0.1,1,0
2780,Mitte,Osloer Straße,Entire home/apt,74,3,10,0.89,1,77
2781,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,49,1,15,0.41,2,0
2782,Neukölln,Reuterstraße,Private room,29,15,8,0.16,1,178
2783,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,49,5,31,0.62,1,0
2785,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Entire home/apt,40,1,2,0.04,1,252
2786,Mitte,Brunnenstr. Süd,Entire home/apt,90,2,156,3.13,1,13
2787,Neukölln,Schillerpromenade,Private room,39,2,21,0.61,2,330
2788,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,40,3,15,0.31,1,10
2789,Pankow,Prenzlauer Berg Süd,Private room,25,2,34,0.68,1,311
2791,Pankow,Prenzlauer Berg Ost,Entire home/apt,99,7,3,0.07,2,166
2792,Pankow,Weißensee,Private room,40,2,39,0.79,1,251
2793,Pankow,Weißensee,Private room,35,1,45,0.91,1,309
2794,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,57,2,11,1.38,1,64
2795,Pankow,Prenzlauer Berg Süd,Entire home/apt,120,13,4,0.35,1,0
2796,Pankow,Prenzlauer Berg Südwest,Private room,65,3,6,0.13,2,320
2797,Pankow,Pankow Süd,Private room,32,6,2,0.04,1,0
2798,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,27,4,10,0.2,1,0
2799,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,150,3,40,0.81,1,293
2800,Mitte,Tiergarten Süd,Entire home/apt,99,3,2,0.04,1,0
2801,Pankow,Pankow Zentrum,Entire home/apt,49,6,4,0.09,1,67
2802,Mitte,Brunnenstr. Süd,Private room,48,2,166,3.33,1,38
2803,Treptow - Köpenick,Oberschöneweide,Entire home/apt,55,3,5,0.19,1,0
2804,Pankow,Helmholtzplatz,Entire home/apt,55,60,7,0.18,2,231
2805,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,42,1,5,0.1,1,0
2806,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,79,6,92,1.89,1,347
2807,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,32,2,29,0.71,1,82
2808,Mitte,Moabit West,Entire home/apt,85,3,41,0.88,2,289
2809,Mitte,Brunnenstr. Süd,Private room,33,2,119,2.42,3,326
2810,Pankow,Prenzlauer Berg Südwest,Entire home/apt,50,59,3,0.22,2,272
2811,Neukölln,Schillerpromenade,Private room,28,1,1,0.07,3,0
2812,Neukölln,Reuterstraße,Private room,20,1,2,0.04,1,0
2813,Mitte,Brunnenstr. Süd,Entire home/apt,175,7,2,0.05,1,0
2814,Charlottenburg-Wilm.,Barstraße,Entire home/apt,55,6,1,0.06,1,0
2815,Neukölln,Neuköllner Mitte/Zentrum,Private room,32,4,15,1.04,1,202
2816,Mitte,Alexanderplatz,Private room,66,2,36,1.55,1,279
2817,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,70,5,8,0.18,1,161
2818,Marzahn - Hellersdorf,Mahlsdorf,Entire home/apt,70,1,5,0.11,2,0
2819,Lichtenberg,Neu Lichtenberg,Entire home/apt,49,3,4,0.1,1,0
2820,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,44,1,27,0.55,1,0
2821,Neukölln,Schillerpromenade,Entire home/apt,59,10,4,0.08,2,19
2822,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,25,1,6,0.12,1,0
2823,Treptow - Köpenick,Köpenick-Nord,Private room,40,2,1,0.02,1,0
2824,Neukölln,Reuterstraße,Private room,40,3,155,4.65,1,50
2825,Neukölln,Reuterstraße,Entire home/apt,49,5,4,0.09,1,0
2826,Neukölln,Neuköllner Mitte/Zentrum,Private room,60,3,9,0.19,2,0
2827,Pankow,Weißensee,Entire home/apt,79,3,4,0.26,1,0
2828,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,40,6,7,0.16,1,0
2829,Neukölln,Neuköllner Mitte/Zentrum,Entire home/apt,25,5,10,0.22,1,0
2830,Charlottenburg-Wilm.,Kantstraße,Private room,30,1,38,0.87,1,319
2831,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,48,1,59,1.23,1,220
2832,Lichtenberg,Neu Lichtenberg,Entire home/apt,245,3,101,2.04,1,263
2834,Pankow,Weißensee,Entire home/apt,36,7,10,0.27,1,0
2835,Pankow,Buch,Entire home/apt,60,2,31,0.72,3,281
2837,Pankow,Helmholtzplatz,Entire home/apt,57,7,18,0.37,1,0
2838,Treptow - Köpenick,Baumschulenweg,Private room,20,20,3,0.11,1,148
2839,Neukölln,Rixdorf,Entire home/apt,40,1,10,0.24,1,0
2840,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,25,3,1,0.02,1,0
2841,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,84,3,36,1.48,1,29
2842,Charlottenburg-Wilm.,Halensee,Entire home/apt,65,3,78,1.83,1,113
2843,Neukölln,Reuterstraße,Private room,24,2,6,0.12,1,0
2844,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,36,3,213,4.44,1,304
2845,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,27,20,15,0.3,1,303
2847,Pankow,Buch,Entire home/apt,50,2,22,0.45,3,297
2848,Reinickendorf,Ost 1,Private room,34,3,25,0.58,1,154
2849,Treptow - Köpenick,Plänterwald,Private room,40,1,12,0.26,1,365
2851,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,60,5,17,0.41,1,325
2852,Mitte,Parkviertel,Private room,25,1,5,0.1,2,0
2853,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,50,3,87,1.76,2,17
2855,Neukölln,Neuköllner Mitte/Zentrum,Entire home/apt,38,3,2,0.04,1,0
2856,Mitte,Alexanderplatz,Private room,90,14,3,0.06,1,0
2857,Neukölln,Reuterstraße,Entire home/apt,65,3,13,0.27,1,13
2858,Mitte,Brunnenstr. Süd,Entire home/apt,60,3,52,1.64,2,0
2859,Mitte,Alexanderplatz,Entire home/apt,100,2,297,6.17,1,130
2860,Pankow,Prenzlauer Berg Südwest,Entire home/apt,70,3,74,1.95,1,56
2861,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,23,3,10,0.21,1,62
2862,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,79,2,226,4.7,1,109
2863,Mitte,Alexanderplatz,Private room,55,3,72,1.58,1,77
2865,Pankow,Prenzlauer Berg Ost,Entire home/apt,43,3,1,0.03,1,0
2866,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,110,60,9,0.26,1,365
2868,Pankow,Prenzlauer Berg Ost,Private room,54,2,8,0.56,1,89
2869,Charlottenburg-Wilm.,Neue Kantstraße,Entire home/apt,85,4,5,0.75,1,12
2871,Steglitz - Zehlendorf,Teltower Damm,Private room,35,1,15,0.34,1,364
2872,Mitte,Moabit Ost,Entire home/apt,48,90,2,0.06,1,129
2873,Tempelhof - Schöneberg,Tempelhof,Private room,21,3,41,0.83,3,320
2874,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,37,2,31,0.66,1,328
2875,Mitte,Brunnenstr. Nord,Private room,35,2,18,0.57,1,352
2876,Neukölln,Reuterstraße,Entire home/apt,70,1,2,0.04,1,0
2877,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,70,2,77,1.58,1,14
2878,Charlottenburg-Wilm.,Neue Kantstraße,Private room,37,5,44,1.05,1,0
2879,Neukölln,Reuterstraße,Private room,46,2,27,0.55,1,0
2880,Tempelhof - Schöneberg,Tempelhof,Private room,34,3,106,2.17,2,324
2881,Mitte,Brunnenstr. Süd,Private room,45,2,110,2.72,1,25
2882,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,52,1,100,2.05,1,70
2884,Lichtenberg,Karlshorst,Entire home/apt,45,60,6,0.17,5,185
2885,Mitte,Moabit West,Entire home/apt,60,1,7,0.15,1,0
2886,Mitte,Wedding Zentrum,Private room,40,1,72,1.5,1,362
2887,Mitte,Brunnenstr. Süd,Entire home/apt,80,1,215,5.34,4,227
2889,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,45,2,150,3.05,1,0
2890,Charlottenburg-Wilm.,Volkspark Wilmersdorf,Entire home/apt,107,20,4,0.09,1,302
2891,Neukölln,Schillerpromenade,Entire home/apt,35,1,2,0.04,1,0
2892,Neukölln,Reuterstraße,Entire home/apt,70,1,32,0.75,1,0
2894,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,75,2,33,0.69,1,4
2895,Charlottenburg-Wilm.,Otto-Suhr-Allee,Entire home/apt,49,9,3,0.19,1,0
2896,Tempelhof - Schöneberg,Friedenau,Entire home/apt,55,60,3,0.07,2,99
2897,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,60,2,14,0.73,1,7
2898,Neukölln,Rixdorf,Entire home/apt,80,1,45,0.98,1,300
2900,Tempelhof - Schöneberg,Friedenau,Entire home/apt,51,3,3,0.08,1,5
2901,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,49,2,3,0.06,1,5
2902,Pankow,Prenzlauer Berg Nordwest,Private room,39,2,1,0.03,1,0
2903,Mitte,Brunnenstr. Süd,Entire home/apt,69,3,4,0.08,2,0
2904,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,90,1,3,0.07,1,0
2905,Charlottenburg-Wilm.,Kantstraße,Entire home/apt,60,180,1,0.02,2,130
2906,Pankow,Prenzlauer Berg Südwest,Private room,35,2,43,0.92,1,307
2907,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,35,150,4,0.08,2,220
2908,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,115,3,9,0.19,1,284
2909,Mitte,Brunnenstr. Nord,Private room,46,1,253,5.4,1,324
2910,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,45,180,5,0.2,1,195
2911,Mitte,Moabit Ost,Entire home/apt,94,4,14,0.29,1,132
2912,Pankow,Buch,Entire home/apt,60,1,26,0.69,3,335
2913,Neukölln,Reuterstraße,Entire home/apt,65,5,2,0.1,1,0
2915,Mitte,Wedding Zentrum,Entire home/apt,26,10,83,2.05,1,0
2917,Neukölln,Schillerpromenade,Entire home/apt,130,14,5,0.1,1,31
2919,Tempelhof - Schöneberg,Friedenau,Private room,35,2,19,0.4,2,0
2920,Mitte,Brunnenstr. Nord,Private room,71,7,2,0.67,1,358
2922,Mitte,Moabit West,Private room,22,3,2,0.13,1,0
2923,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,55,3,7,0.19,1,0
2924,Pankow,Prenzlauer Berg Ost,Entire home/apt,66,5,123,2.63,1,71
2925,Charlottenburg-Wilm.,Düsseldorfer Straße,Entire home/apt,75,28,88,1.81,1,110
2926,Neukölln,Rudow,Entire home/apt,40,21,8,0.19,1,191
2927,Steglitz - Zehlendorf,Teltower Damm,Private room,75,14,27,0.55,1,83
2928,Mitte,Brunnenstr. Süd,Private room,57,2,242,5.95,1,79
2929,Neukölln,Reuterstraße,Entire home/apt,70,5,9,0.19,1,0
2930,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,28,1,50,1.65,2,279
2931,Neukölln,Schillerpromenade,Entire home/apt,100,4,6,0.15,1,0
2932,Mitte,Tiergarten Süd,Entire home/apt,280,3,107,2.25,1,335
2933,Mitte,Alexanderplatz,Entire home/apt,170,3,106,2.26,5,326
2934,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,55,10,24,0.58,1,190
2935,Neukölln,Reuterstraße,Private room,40,1,1,0.1,1,0
2936,Charlottenburg-Wilm.,Barstraße,Entire home/apt,64,3,114,2.99,1,109
2937,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Entire home/apt,45,5,2,0.14,1,0
2939,Charlottenburg-Wilm.,Kantstraße,Entire home/apt,58,2,163,3.57,1,194
2940,Charlottenburg-Wilm.,Düsseldorfer Straße,Entire home/apt,53,2,17,0.37,2,6
2941,Pankow,Prenzlauer Berg Süd,Entire home/apt,59,90,21,0.43,1,155
2943,Neukölln,Rixdorf,Entire home/apt,38,21,15,0.32,2,3
2944,Neukölln,Rixdorf,Entire home/apt,79,3,8,0.16,1,23
2945,Mitte,Brunnenstr. Süd,Entire home/apt,65,1,23,0.47,1,0
2946,Mitte,Alexanderplatz,Entire home/apt,118,3,48,1.05,1,0
2948,Neukölln,Schillerpromenade,Private room,39,3,25,0.61,1,0
2949,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,80,1,1,0.03,1,0
2950,Charlottenburg-Wilm.,Neue Kantstraße,Entire home/apt,99,1,29,0.69,1,355
2951,Steglitz - Zehlendorf,Drakestr.,Private room,25,3,33,1.72,1,0
2952,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,36,1,17,0.62,2,364
2953,Pankow,Prenzlauer Berg Nord,Entire home/apt,40,10,3,0.06,1,0
2954,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,49,3,6,0.16,1,0
2955,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,70,7,2,0.04,1,26
2957,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,180,7,1,0.02,1,279
2958,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Entire home/apt,50,4,8,0.16,1,0
2960,Treptow - Köpenick,Alt  Treptow,Entire home/apt,70,5,2,0.04,1,0
2961,Neukölln,Reuterstraße,Entire home/apt,50,1,4,0.08,1,0
2962,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,43,2,183,3.77,1,12
2963,Mitte,Brunnenstr. Süd,Entire home/apt,50,14,1,0.11,1,0
2965,Neukölln,Rixdorf,Entire home/apt,39,1,6,0.17,1,0
2966,Pankow,Pankow Süd,Entire home/apt,75,4,3,0.06,1,0
2967,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,130,6,7,0.15,1,310
2968,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,35,2,6,0.14,1,0
2969,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,50,3,6,0.14,1,23
2970,Mitte,Alexanderplatz,Entire home/apt,90,3,199,4.26,2,46
2971,Pankow,Prenzlauer Berg Südwest,Entire home/apt,120,27,3,0.25,1,0
2972,Neukölln,Rixdorf,Private room,28,10,27,0.58,2,0
2973,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Entire home/apt,100,3,201,4.13,2,39
2974,Pankow,Prenzlauer Berg Südwest,Entire home/apt,90,5,45,0.96,1,2
2975,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,60,14,18,0.37,1,45
2976,Lichtenberg,Neu Lichtenberg,Private room,40,90,4,0.09,1,353
2977,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,39,1,7,0.18,1,152
2978,Reinickendorf,Ost 1,Entire home/apt,67,3,9,0.19,1,100
2979,Mitte,Tiergarten Süd,Entire home/apt,60,6,2,0.04,1,0
2980,Neukölln,Rixdorf,Private room,60,2,10,0.21,1,6
2981,Pankow,Buchholz,Entire home/apt,80,1,4,0.09,1,0
2982,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,199,4,41,0.88,1,311
2983,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,80,7,1,0.02,1,0
2984,Steglitz - Zehlendorf,Albrechtstr.,Private room,30,7,6,0.13,1,0
2985,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,35,91,7,0.15,1,5
2986,Tempelhof - Schöneberg,Tempelhof,Entire home/apt,85,1,5,0.1,1,0
2987,Neukölln,Reuterstraße,Private room,30,4,3,0.1,1,0
2988,Neukölln,Schillerpromenade,Entire home/apt,32,2,2,0.04,1,0
2989,Neukölln,Schillerpromenade,Entire home/apt,60,1,28,0.85,1,0
2990,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,70,4,4,0.09,1,0
2991,Pankow,Helmholtzplatz,Entire home/apt,59,1,2,0.04,1,0
2992,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,125,3,19,0.45,1,145
2993,Charlottenburg-Wilm.,Barstraße,Private room,28,5,38,0.85,2,328
2994,Mitte,Moabit Ost,Entire home/apt,115,3,26,0.55,1,0
2996,Pankow,Prenzlauer Berg Südwest,Private room,33,2,23,0.5,1,353
2997,Charlottenburg-Wilm.,Otto-Suhr-Allee,Private room,39,1,111,3.63,4,136
