,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
20712,Charlottenburg-Wilm.,Grunewald,Private room,30,2,17,6.0,1,348
20714,Mitte,Alexanderplatz,Private room,119,3,3,1.61,1,54
20715,Charlottenburg-Wilm.,Halensee,Private room,35,18,1,0.64,1,0
20716,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,70,3,1,0.46,1,17
20717,Steglitz - Zehlendorf,Albrechtstr.,Private room,45,1,2,0.9,1,114
20718,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,27,1,6,2.17,1,0
20719,Charlottenburg-Wilm.,Düsseldorfer Straße,Entire home/apt,100,2,1,1.0,1,1
20720,Steglitz - Zehlendorf,Drakestr.,Entire home/apt,65,5,3,1.22,1,57
20721,Lichtenberg,Frankfurter Allee Süd,Private room,30,1,1,0.34,1,84
20722,Lichtenberg,Alt-Lichtenberg,Private room,22,4,1,0.39,1,0
20723,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,125,1,12,6.92,8,289
20724,Treptow - Köpenick,Rahnsdorf/Hessenwinkel,Private room,30,6,2,0.75,1,0
20725,Lichtenberg,Neu Lichtenberg,Entire home/apt,30,2,23,8.02,1,0
20726,Charlottenburg-Wilm.,Düsseldorfer Straße,Private room,75,2,5,3.95,1,168
20727,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,75,3,1,0.43,2,125
20728,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,45,3,1,0.36,2,125
20729,Mitte,Brunnenstr. Süd,Entire home/apt,80,2,7,3.0,1,0
20730,Neukölln,Neuköllner Mitte/Zentrum,Private room,19,2,5,2.54,1,0
20731,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,80,3,1,0.37,1,0
20733,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,250,2,4,2.67,1,0
20734,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,46,3,2,0.85,1,66
20736,Charlottenburg-Wilm.,Schmargendorf,Entire home/apt,250,1,3,3.0,1,0
20737,Pankow,Helmholtzplatz,Private room,50,1,3,1.45,1,4
20738,Neukölln,Schillerpromenade,Private room,23,1,5,1.72,2,0
20739,Charlottenburg-Wilm.,Barstraße,Shared room,30,1,9,4.22,1,276
20740,Mitte,Parkviertel,Entire home/apt,69,3,2,0.71,1,116
20741,Mitte,Brunnenstr. Süd,Entire home/apt,189,1,6,2.65,4,172
20742,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,65,1,20,7.23,1,12
20743,Charlottenburg-Wilm.,Düsseldorfer Straße,Private room,65,2,3,1.22,1,2
20745,Mitte,Parkviertel,Private room,20,1,11,4.46,1,5
20746,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,80,5,1,0.81,1,54
20747,Pankow,Prenzlauer Berg Nordwest,Private room,40,2,7,2.47,1,0
20748,Neukölln,Reuterstraße,Shared room,20,1,6,3.33,1,73
20750,Mitte,Osloer Straße,Private room,35,3,1,0.44,1,0
20752,Pankow,Prenzlauer Berg Nord,Private room,35,3,1,1.0,1,0
20753,Charlottenburg-Wilm.,Kantstraße,Entire home/apt,100,6,1,1.0,1,82
20754,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,48,1,15,5.23,8,0
20755,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,80,2,1,1.0,3,0
20756,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,40,3,1,0.39,1,5
20757,Mitte,Parkviertel,Entire home/apt,40,4,6,2.25,1,0
20758,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,100,3,2,1.0,2,30
20759,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Entire home/apt,100,2,4,2.03,1,124
20760,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,25,2,7,2.73,2,0
20761,Steglitz - Zehlendorf,Drakestr.,Private room,30,2,3,2.2,1,363
20762,Mitte,Parkviertel,Private room,35,2,3,1.11,2,340
20763,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,48,2,9,3.33,8,0
20765,Mitte,Tiergarten Süd,Private room,40,3,2,0.69,1,0
20766,Neukölln,Rixdorf,Private room,45,3,1,0.44,1,0
20767,Charlottenburg-Wilm.,Düsseldorfer Straße,Entire home/apt,30,2,7,2.59,1,6
20769,Spandau,Gatow / Kladow,Entire home/apt,50,2,2,0.81,1,87
20770,Mitte,Alexanderplatz,Private room,35,60,1,1.0,3,190
20771,Neukölln,Reuterstraße,Private room,40,2,5,1.81,1,19
20772,Tempelhof - Schöneberg,Tempelhof,Private room,22,14,3,1.27,1,65
20774,Neukölln,Neuköllner Mitte/Zentrum,Private room,29,2,18,7.11,1,69
20775,Pankow,Prenzlauer Berg Nordwest,Private room,35,2,2,0.88,1,35
20776,Pankow,Prenzlauer Berg Nord,Entire home/apt,67,1,3,1.17,1,0
20777,Mitte,Parkviertel,Private room,30,3,4,1.5,2,0
20778,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,38,2,8,2.96,8,0
20779,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,32,2,5,2.31,8,0
20780,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Entire home/apt,135,3,4,2.35,1,151
20781,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,35,3,1,0.39,1,0
20783,Mitte,Wedding Zentrum,Private room,60,2,5,2.27,2,72
20785,Lichtenberg,Neu Lichtenberg,Private room,23,1,7,2.84,1,167
20786,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,10,5,1,0.45,3,223
20787,Pankow,Weißensee,Entire home/apt,60,4,2,0.83,1,0
20788,Charlottenburg-Wilm.,Charlottenburg Nord,Entire home/apt,75,5,3,1.5,1,281
